"segmento","codigo_bovespa","nome_acao","nome_tipo_acao","percentual_participacao_acao","percentual_participacao_acumulada","quantidade_teorica","ano","mes","dia","data_pregao"
"Mats Básicos / Sid Metalurgia","CSNA3","SID NACIONAL","ON","0.281","1.711","727459637.00","2025","07","22","2025-07-22"
"Mats Básicos / Sid Metalurgia","USIM5","USIMINAS","PNA     N1","0.100","1.711","515193199.00","2025","07","22","2025-07-22"
"Petróleo, Gás e Biocombustíveis","BRAV3","BRAVA","ON  ATZ NM","0.402","15.729","451311960.00","2025","07","22","2025-07-22"
"Petróleo, Gás e Biocombustíveis","CSAN3","COSAN","ON      NM","0.327","15.729","1160227510.00","2025","07","22","2025-07-22"
"Petróleo, Gás e Biocombustíveis","PETR3","PETROBRAS","ON      N2","4.593","15.729","2820420899.00","2025","07","22","2025-07-22"
"Petróleo, Gás e Biocombustíveis","PETR4","PETROBRAS","PN      N2","6.613","15.729","4410955873.00","2025","07","22","2025-07-22"
"Petróleo, Gás e Biocombustíveis","RECV3","PETRORECSA","ON      NM","0.180","15.729","274981010.00","2025","07","22","2025-07-22"
"Petróleo, Gás e Biocombustíveis","PRIO3","PETRORIO","ON      NM","1.610","15.729","779999989.00","2025","07","22","2025-07-22"
"Petróleo, Gás e Biocombustíveis","RAIZ4","RAIZEN","PN      N2","0.087","15.729","1210756333.00","2025","07","22","2025-07-22"
"Petróleo, Gás e Biocombustíveis","UGPA3","ULTRAPAR","ON      NM","0.828","15.729","1089082981.00","2025","07","22","2025-07-22"
"Petróleo, Gás e Biocombustíveis","VBBR3","VIBRA","ON      NM","1.089","15.729","1113939036.00","2025","07","22","2025-07-22"
"Saúde/Comércio Distr.","HYPE3","HYPERA","ON      NM","0.460","1.329","360057207.00","2025","07","18","2025-07-18"
"Saúde/Comércio Distr.","RADL3","RAIADROGASIL","ON      NM","0.869","1.329","1297567800.00","2025","07","18","2025-07-18"
"Saúde/SM Hosp An.Diag","FLRY3","FLEURY","ON      NM","0.278","2.617","455988366.00","2025","07","18","2025-07-18"
"Saúde/SM Hosp An.Diag","HAPV3","HAPVIDA","ON      NM","0.501","2.617","311217208.00","2025","07","18","2025-07-18"
"Saúde/SM Hosp An.Diag","RDOR3","REDE D OR","ON      NM","1.838","2.617","1145289019.00","2025","07","18","2025-07-18"
"Tec.Informação/Programas Servs","TOTS3","TOTVS","ON      NM","1.073","1.073","531531039.00","2025","07","18","2025-07-18"
"Telecomunicação","VIVT3","TELEF BRASIL","ON","1.143","1.940","764884256.00","2025","07","18","2025-07-18"
"Telecomunicação","TIMS3","TIM","ON      NM","0.797","1.940","806346600.00","2025","07","18","2025-07-18"
"Utilidade Públ / Água Saneamento","SBSP3","SABESP","ON      NM","3.674","3.674","683495706.00","2025","07","18","2025-07-18"
"Utilidade Públ / Energ Elétrica","AURE3","AUREN","ON      NM","0.139","11.603","323738747.00","2025","07","18","2025-07-18"
"Utilidade Públ / Energ Elétrica","CMIG4","CEMIG","PN      N1","0.929","11.603","1858636840.00","2025","07","18","2025-07-18"
"Utilidade Públ / Energ Elétrica","CPLE6","COPEL","PNB     N2","0.959","11.603","1671982390.00","2025","07","18","2025-07-18"
"Utilidade Públ / Energ Elétrica","CPFE3","CPFL ENERGIA","ON      NM","0.341","11.603","187732538.00","2025","07","18","2025-07-18"
"Utilidade Públ / Energ Elétrica","ELET3","ELETROBRAS","ON      N1","3.383","11.603","1808652474.00","2025","07","18","2025-07-18"
"Utilidade Públ / Energ Elétrica","ELET6","ELETROBRAS","PNB     N1","0.551","11.603","268875696.00","2025","07","18","2025-07-18"
"Utilidade Públ / Energ Elétrica","ENGI11","ENERGISA","UNT     N2","0.713","11.603","326175300.00","2025","07","18","2025-07-18"
